epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.36478,2.93031,5.32043,3.25637,0.00655,0.5914,0.01251,0.00471,4.42413,5.73692,5.52475,4e-05,4e-05,4e-05
2,3.61949,3.19901,5.55795,3.62919,0.00607,0.54839,0.01207,0.00483,4.48944,5.88173,5.54934,9.99756e-05,9.99756e-05,9.99756e-05
3,4.79986,2.71542,5.15317,3.14774,0.00607,0.54839,0.01155,0.00443,4.5751,5.65446,5.56292,0.000159844,0.000159844,0.000159844
4,6.1056,2.63506,4.9435,3.07636,0.00631,0.56989,0.02228,0.00805,3.74122,4.38191,4.34087,0.000219517,0.000219517,0.000219517
5,7.39159,2.39775,4.60936,2.78869,0.00643,0.58065,0.02301,0.00845,3.39163,3.99535,4.34011,0.000278907,0.000278907,0.000278907
6,8.68197,1.90161,4.50967,2.39269,0.0075,0.67742,0.03316,0.01215,3.88748,4.19463,4.96123,0.000337928,0.000337928,0.000337928
7,9.97328,1.74475,3.99924,2.30688,0.00643,0.58065,0.05005,0.01512,3.7493,4.09872,6.34163,0.000396493,0.000396493,0.000396493
8,11.3787,1.76192,3.97639,2.35124,0.0075,0.67742,0.06654,0.03009,3.57573,3.98045,6.75309,0.000454516,0.000454516,0.000454516
9,12.9046,1.75407,3.89258,2.36777,0.00738,0.66667,0.07967,0.0332,3.382,3.98202,6.48703,0.000511913,0.000511913,0.000511913
10,14.2114,1.58325,3.73565,2.28578,0.00714,0.64516,0.07275,0.02591,3.6419,4.25947,6.41486,0.0005686,0.0005686,0.0005686
11,15.4946,1.54919,3.89583,2.32829,0.00702,0.63441,0.06476,0.02268,3.13047,4.05708,8.39154,0.000624495,0.000624495,0.000624495
12,16.7654,1.54424,3.62764,2.19665,0.00738,0.66667,0.04182,0.01581,3.13809,4.08943,7.34629,0.000679515,0.000679515,0.000679515
13,17.9919,1.54398,3.76282,2.27555,0.00702,0.63441,0.03955,0.01609,3.49537,4.00296,5.88823,0.000733582,0.000733582,0.000733582
14,19.157,1.5231,3.54497,2.21266,0.00702,0.63441,0.03662,0.01462,3.61992,4.02076,6.31834,0.000786617,0.000786617,0.000786617
15,20.3936,1.55349,3.69785,2.23866,0.00643,0.58065,0.03319,0.01429,3.77136,4.22586,8.27931,0.000838543,0.000838543,0.000838543
16,21.6114,1.51889,3.52605,2.20834,0.00643,0.58065,0.03416,0.01417,3.77761,4.28422,8.77203,0.000889285,0.000889285,0.000889285
17,22.8995,1.53459,3.43718,2.28169,0.00631,0.56989,0.06136,0.02334,3.81106,4.17583,7.41257,0.000938772,0.000938772,0.000938772
18,24.0877,1.8589,3.56432,2.52149,0.00607,0.54839,0.049,0.01841,3.68794,4.21206,6.10631,0.000986931,0.000986931,0.000986931
19,25.4709,1.4933,3.36049,2.23737,0.00622,0.54839,0.00986,0.00349,3.74889,4.0619,5.57774,0.0010337,0.0010337,0.0010337
20,26.6702,1.62357,3.37885,2.20509,0.00697,0.60215,0.01602,0.00495,3.91216,3.9777,5.91349,0.001079,0.001079,0.001079
21,27.8904,1.5653,3.34102,2.30296,0.00675,0.60215,0.03828,0.01559,3.6994,3.82034,5.29797,0.00112277,0.00112277,0.00112277
22,29.1113,1.45769,3.3568,2.19673,0.00765,0.68817,0.05548,0.02284,2.88356,3.59005,5.66164,0.00116496,0.00116496,0.00116496
23,30.3566,1.514,3.35074,2.17621,0.01922,0.56989,0.0837,0.03312,2.99691,3.8954,6.42797,0.00120551,0.00120551,0.00120551
24,31.5185,1.53984,3.2961,2.30821,0.02058,0.58065,0.05184,0.01995,3.37193,4.13543,6.81855,0.00124435,0.00124435,0.00124435
25,32.8095,1.40016,3.16689,2.17674,0.00667,0.60215,0.05507,0.01765,3.48719,4.23014,5.7769,0.00128144,0.00128144,0.00128144
26,34.0023,1.65156,3.30126,2.27597,0.00679,0.6129,0.04635,0.01766,3.54002,4.12969,5.49182,0.00131673,0.00131673,0.00131673
27,35.2251,1.4641,3.23332,2.06602,0.00667,0.60215,0.03691,0.01276,3.80975,4.04634,5.56859,0.00135016,0.00135016,0.00135016
28,36.4325,1.50988,3.04795,2.22416,0.00655,0.5914,0.03417,0.01319,3.88496,3.98195,5.19958,0.0013817,0.0013817,0.0013817
29,37.6339,1.4896,3.06021,2.08658,0.0081,0.73118,0.0655,0.02418,3.66651,3.78951,5.48923,0.0014113,0.0014113,0.0014113
30,38.9795,1.49636,3.22842,2.28192,0.04654,0.48387,0.06755,0.01977,3.71114,3.73702,5.12821,0.00143893,0.00143893,0.00143893
31,40.1697,1.50487,2.99266,2.22507,0.06347,0.19355,0.03251,0.0113,3.58093,4.03543,4.61338,0.00146455,0.00146455,0.00146455
32,41.3902,1.39943,3.05156,2.16977,0.04344,0.24731,0.04967,0.01328,3.51475,3.73592,4.71094,0.00148814,0.00148814,0.00148814
33,42.6012,1.41691,3.04736,2.1218,0.03207,0.30108,0.05801,0.01732,3.74344,3.6532,4.68532,0.00150966,0.00150966,0.00150966
34,43.96,1.44207,3.00704,2.02994,0.00738,0.62366,0.04772,0.01252,3.92333,3.56788,4.55364,0.00151395,0.00151395,0.00151395
35,45.1979,1.61467,3.12016,2.25716,0.00768,0.62366,0.02183,0.00746,4.15363,3.45295,4.51884,0.00148694,0.00148694,0.00148694
36,46.3999,1.42528,2.89773,2.19052,0.00674,0.54839,0.02022,0.00641,4.15483,3.38941,4.73924,0.00145945,0.00145945,0.00145945
37,47.6437,1.43132,2.91009,2.11815,0.00738,0.5914,0.02946,0.0107,4.06367,3.33654,4.84034,0.00143152,0.00143152,0.00143152
38,48.8289,1.36128,2.82021,2.07436,0.00761,0.58065,0.02896,0.01307,3.95808,3.26764,4.88869,0.00140318,0.00140318,0.00140318
39,50.03,1.42262,2.90215,2.06416,0.0072,0.46237,0.0184,0.00778,4.35577,3.34855,5.73689,0.00137444,0.00137444,0.00137444
40,51.3089,1.42352,2.8369,2.21778,0.00677,0.45161,0.01957,0.00809,4.2612,3.34939,5.30569,0.00134535,0.00134535,0.00134535
41,52.519,1.45911,2.91622,2.21953,0.00642,0.44086,0.02685,0.00596,4.75702,3.27556,6.79288,0.00131593,0.00131593,0.00131593
42,53.7042,1.35032,2.81715,2.06371,0.0062,0.45161,0.04753,0.01222,4.67493,3.20632,7.33812,0.0012862,0.0012862,0.0012862
43,54.9328,1.45872,2.94387,2.15965,0.00735,0.50538,0.05247,0.01725,4.43531,3.13823,7.10315,0.0012562,0.0012562,0.0012562
