epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.86461,3.97806,5.80659,4.21277,0,0,0,0,4.45385,3.83455,5.48631,6.66e-06,6.66e-06,6.66e-06
2,4.19245,3.9187,5.75726,4.02825,0,0,0,0,4.44063,3.83547,5.43088,1.66459e-05,1.66459e-05,1.66459e-05
3,5.40809,3.61072,5.39472,3.81012,0,0,0,0,4.32595,3.83904,5.10596,2.6614e-05,2.6614e-05,2.6614e-05
4,6.68008,3.70272,5.56175,3.66953,0,0,0,0,4.2424,3.83433,4.82967,3.65495e-05,3.65495e-05,3.65495e-05
5,8.08125,3.53207,5.68971,3.54087,0,0,0,0,4.13542,3.83393,4.52609,4.6438e-05,4.6438e-05,4.6438e-05
6,9.31038,2.73936,5.09637,3.02699,0,0,0,0,3.86221,3.8326,4.33001,5.6265e-05,5.6265e-05,5.6265e-05
7,10.5766,2.75935,5.27951,3.07036,0,0,0,0,3.47678,3.82887,4.1278,6.60161e-05,6.60161e-05,6.60161e-05
8,11.8539,2.56011,5.01212,2.90156,0,0,0,0,2.99848,3.83062,3.97376,7.5677e-05,7.5677e-05,7.5677e-05
9,13.103,2.30045,5.04694,2.76687,0,0,0,0,2.79427,3.82602,3.91346,8.52336e-05,8.52336e-05,8.52336e-05
10,14.4427,2.12847,4.82538,2.619,0,0,0,0,2.9472,3.82333,4.08328,9.4672e-05,9.4672e-05,9.4672e-05
11,15.8354,2.12997,4.80434,2.57794,0,0,0,0,3.09965,3.82309,4.21919,0.000103978,0.000103978,0.000103978
12,17.2007,1.81366,4.72261,2.38885,0,0,0,0,3.25655,3.82286,4.32171,0.000113139,0.000113139,0.000113139
13,18.4644,1.88645,4.61374,2.43454,0,0,0,0,3.44482,3.82166,4.51205,0.000122141,0.000122141,0.000122141
14,19.6588,1.85954,4.68918,2.39223,0,0,0,0,3.48021,3.82118,4.55142,0.000130972,0.000130972,0.000130972
15,20.889,1.88162,4.67442,2.42122,0,0,0,0,3.42007,3.81965,4.52276,0.000139617,0.000139617,0.000139617
16,22.0957,1.82882,4.60875,2.34402,0,0,0,0,3.50321,3.82836,4.60735,0.000148066,0.000148066,0.000148066
17,23.4417,1.90958,4.62421,2.36687,0,0,0,0,3.70135,3.83253,4.79674,0.000156306,0.000156306,0.000156306
18,24.5775,1.73703,4.64966,2.31239,0,0,0,0,3.80949,3.82628,4.93858,0.000164324,0.000164324,0.000164324
19,25.7882,1.76482,4.54571,2.31093,0,0,0,0,3.85309,3.82696,5.18624,0.00017211,0.00017211,0.00017211
20,26.9759,1.67756,4.41703,2.27746,0,0,0,0,3.91127,3.80314,5.44148,0.000179653,0.000179653,0.000179653
21,28.2487,1.62761,4.40882,2.29001,0.00232,0.01128,0.00143,0.00037,3.96842,3.80723,5.38053,0.000186942,0.000186942,0.000186942
22,29.5159,1.49591,4.29038,2.16894,0.00393,0.03759,0.00364,0.00094,3.9944,3.79433,5.41622,0.000193967,0.000193967,0.000193967
23,30.7631,1.6813,4.47658,2.24242,0.00332,0.04511,0.00429,0.0015,4.17708,3.80431,5.3249,0.000200717,0.000200717,0.000200717
24,31.9864,1.53335,4.38488,2.12736,0.00264,0.04135,0.00428,0.00146,4.25045,3.80105,5.39964,0.000207185,0.000207185,0.000207185
25,33.252,1.62737,4.27145,2.22467,0.00191,0.03383,0.00334,0.00141,4.48157,3.80541,5.54124,0.00021336,0.00021336,0.00021336
26,34.578,1.62903,4.23466,2.17325,0.00196,0.03383,0.0039,0.00138,4.66347,3.81925,5.72467,0.000219235,0.000219235,0.000219235
27,35.8193,1.64255,4.13171,2.18199,0.00156,0.03383,0.00661,0.00256,4.81788,3.80542,5.99619,0.000224802,0.000224802,0.000224802
28,37.0133,1.51295,4.12235,2.16346,0.00485,0.03968,0.00547,0.00189,4.92159,3.8175,6.13638,0.000230053,0.000230053,0.000230053
