epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0883,3.10074,4.95556,3.55692,0,0,0,0,4.4083,3.83299,5.06662,6.66e-06,6.66e-06,6.66e-06
2,58.4732,2.88213,4.89011,3.34665,0,0,0,0,4.4359,3.83694,5.10947,1.62466e-05,1.62466e-05,1.62466e-05
3,59.6533,3.04451,4.95855,3.47714,0,0,0,0,4.42445,3.83491,5.02023,2.41215e-05,2.41215e-05,2.41215e-05
4,61.3065,2.69499,4.84619,3.15337,0,0,0,0,4.35865,3.83176,4.77575,2.91558e-05,2.91558e-05,2.91558e-05
5,62.6517,2.58542,4.83115,3.01353,0,0,0,0,4.10896,3.82831,4.46523,3.06743e-05,3.06743e-05,3.06743e-05
6,63.9282,2.17476,4.68823,2.71811,0,0,0,0,4.11357,3.8218,4.40875,2.85881e-05,2.85881e-05,2.85881e-05
7,65.2429,2.03938,4.65919,2.62196,0,0,0,0,4.10945,3.82346,4.4242,2.34456e-05,2.34456e-05,2.34456e-05
8,66.5884,2.00022,4.65283,2.48467,0,0,0,0,4.10817,3.82214,4.47683,1.63938e-05,1.63938e-05,1.63938e-05
9,67.9519,2.00621,4.59791,2.50195,0,0,0,0,4.13583,3.82242,4.52148,9.05078e-06,9.05078e-06,9.05078e-06
10,69.3537,1.82292,4.59848,2.38497,0,0,0,0,4.15984,3.82164,4.56714,3.3053e-06,3.3053e-06,3.3053e-06
